僲	亻 覀 舛
𡐔	土 寅 
𡐖	土 堅 
𡐞	敝 土 
𡐠	盾 圭 
𡐤	土 絜 
𡐥	土 天 非 
𡐿	土 逹 
𡑀	棥 土 
𡑄	土 掌 
𡑆	土 量 
𡑈	垂 𠂤 
𡑍	土 勞 
𡑎	土 尋 
𡑘	氏 侖 土 
𡑚	士 冖 示 圣 
𡑞	土 遂 
𡑟	土 過 
𡑢	土 葉 
𡑣	土 窟 
𡑤	𣎆 土 
𡑯	土 僉 
𡑶	將 𠆢 土 
𡑻	𣔾 土 
𡑽	土 𠁊 
𡑾	土 虞 
𡒁	土 䪞 
𡒃	奧 土 
𡒊	與 土 
𡒌	土 遣 
𡒍	聚 土 
𡒏	土 巛 龱 丿 氺 ⺃ 
𡒒	名 土 勿 中 
𡒖	溉 土 
𡒢	皷 土 
𡒧	土 𭥭 斤 
𡒯	土 蒙 
𡒱	敵 土 
𡒳	土 臱 
𡒾	土 𭟼 
𡓉	飠 有 土 
𡓍	土 巤 
𡓓	𦥑 𠆢 𦥑 土 
𡓔	土 廩 
𡓖	堯 成 
𡓘	土 霍 
𡓜	土 廧 
𡓣	土 𩫏 
𡓦	土 毚 
𡓭	彌 土 
𡓰	土 虧 
𡓷	䭉 土 
𡓿	𠱠 𠱠 土 
𡔇	類 土 
𡔕	贑 土 
𡔛	刀 士 
𡔜	士 尸 
𡔞	亡 壬 
𡔢	夨 吉 
𡔣	士 吳 
𡔪	士 冖 口 土 
𡔱	士 冖 由 大 
𡔴	士 冖 公 ⺝ 
𡕁	士 兢 
𡕄	士 冖 ⺆ 𰀆 𠮷 
𡕉	吉 冖 癶 𠙼 
𡕏	壺 桑 
𡕐	壽 周 
𡕖	夂 𰀁 
𡕗	夂 丯 
𡕢	一 火 夊 
𡕥	目 夊 
𡕧	亢 夋 
𡕨	亠 口 口 夊 
𡕪	𠃬 夊 
𡕮	去 夌 
𡕰	𠚍 八 夂 
𡖉	夕 卪 
𡖊	夕 丮 
𡖌	夕 中 
𡖎	多 力 
𡖐	多 也 
𡖑	多 勺 
𡖒	多 勻 
𡖓	多 冘 
𡖔	多 冄 
𡖛	夕 冏 
𡖝	多 冉 
𡖞	多 占 
𡖢	多 宂 
𡖣	多 囙 
𡖤	多 台 
𡖧	多 至 
𡖪	多 在 
𡖫	多 舟 
𡖬	多 先 
𡖯	多 束 
𡖲	多 妥 
𡖳	夾 多 
𡖶	莫 夕 
𡖺	名 夜 
𡖻	多 直 
𡖾	多 其 
𡗁	多 侯 
𡗆	婁 多 
𡗈	多 㽞 
𡗍	養 多 
𡗏	嚴 多 
𡗑	㗬 襄 
𡗔	大 丨 
𡗗	三 人 ? 
𡗞	幺 大 
𡗢	大 㐄 
𡗥	大 屯 
𡗦	大 介 
𡗲	大 斤 
𡗳	公 大 
𡗵	大 引 
𡗷	大 瓜 
𡗸	大 乍 
𡗹	大 弁 
𡗼	大 此 
𡘍	大 亘 
𡘏	大 好 
𡘐	大 亠 日 
𡘛	大 奻 
𡘝	大 束 
𡘡	𦣞 大 
𡘧	大 步 
𡘪	大 身 
𡘭	折 大 
𡘰	大 豆 
𡘴	大 㡀 
𡙀	㡀 夨 
𡙋	大 目 夂 
𡙑	亠 日 尖 
𡙓	大 彥 
𡙘	大 𢇂 
𡙛	兹 大 
𡙣	大 夏 
𡙬	大 售 
𡙭	規 大 
𡙳	㚔 勹 手 
𡙶	夭 竜 
𡚁	敝 大 
𡚈	普 天 
𡚊	大 𨾴 
𡚍	大 品 止 
𡚑	天 道 
𡚔	大 䀠 灬 
𡚗	大 畾 
𡚙	𭘧 旲 
𡚛	大 㕛 臣 㕛 土 
𡚜	大 雚 
𡚟	大 難 
𡚠	大 矍 
𡚦	女 丶 
𡚨	女 𠤎 
𡚭	女 八 
𡚮	久 女 
𡚷	勺 女 
𡚸	女 么 
𡚹	女 丈 
𡚻	女 大 
𡚼	女 氏 
𡚽	丑 女 
𡚾	女 殳 
𡛌	天 女 
𡛗	比 女 
𡛘	女 匹 
𡛙	女 幼 
𡛜	女 氐 
𡛝	歺 女 
𡛞	女 弁 
𡛟	女 戉 
𡛠	女 去 
𡛡	女 皮 
𡛵	正 女 
𡛶	女 世 
𡛽	由 女 
𡜁	女 瓜 
𡜂	污 女 
𡜃	女 𠕎 
𡜉	女 杂 
𡜊	女 缶 
𡜋	女 巟 
𡜚	女 而 
𡜝	同 女 
𡜢	女 尸 尸 
𡜥	女 𠂤 
𡜦	𠦄 女 
𡜧	女 囟 
𡜨	女 休 
𡜪	女 巛 山 
𡜫	女 厶 丹 
𡜬	女 伊 
𡜯	女 𦔮 
𡜱	女 忌 
𡜲	女 告 
𡜳	女 酉 
𡜵	女 甫 
𡜿	女 亩 
𡝈	奻 夫 
𡝉	夫 奻 
𡝊	女 折 
𡝋	奻 木 
𡝍	女 豕 
𡝏	女 𡧍 
𡝐	女 余 
𡝒	女 𢗡 
𡝓	㚣 𭅄 
𡝗	女 君 
𡝙	女 佘 
𡝚	女 呈 
𡝛	女 又 𠙻 
𡝜	女 𠂆 古 
𡝝	汪 女 
𡝟	女 秊 
𡝠	弥 女 
𡝦	女 乳 
𡝧	制 女 
𡝩	女 芺 
𡝫	沾 女 
𡞏	女 奈 
𡞘	女 妾 
𡞙	女 盲 
𡞚	女 肯 
𡞜	酋 女 
𡞞	女 省 
𡞟	叛 女 
𡞠	活 女 
𡞢	女 剋 
𡞣	咸 女 
𡞥	女 矦 
𡞦	女 㝁 
𡞪	女 复 
𡞫	女 柰 
𡞭	女 帠 
𡞯	女 苦 
𡞾	女 耍 
𡟍	女 革 
𡟑	女 侯 
𡟓	女 哀 
𡟕	施 女 
𡟞	女 修 
𡟟	女 怱 
𡟠	女 𥄉 
𡟢	女 𠚏 
𡟣	女 𧆞 
𡟤	女 口 𠃊 目 
𡟥	女 禹 
𡟨	陝 女 
𡟩	女 屑 
𡟫	女 貢 
𡟭	女 屖 
𡟯	女 恩 
𡟰	女 冤 
𡟳	女 𠁁 
𡠆	𣪊 女 
𡠉	牙 攵 厂 女 
𡠊	女 條 
𡠋	師 女 
𡠏	女 桑 
𡠒	女 𢇅 
𡠖	女 臯 
𡠗	執 女 
𡠘	女 卝 土 永 
𡠙	女 通 
𡠚	女 畢 
𡠜	莫 女 
𡠞	女 符 
𡠥	强 女 
𡠹	女 帶 
𡠼	敕 女 
𡠿	女 梟 
𡡀	女 眷 
𡡂	女 羕 
𡡈	女 崩 
𡡉	麻 女 
𡡊	女 巢 
𡡏	稍 女 
𡡐	女 菐 
𡡑	女 曾 
𡡒	女 斯 
𡡓	須 女 
𡡔	女 最 
𡡕	厥 女 
𡡖	女 朁 
𡡥	女 渠 
𡡺	女 淼 
𡢀	女 巽 
𡢈	湯 女 
𡢊	女 ⺫ 旲 
𡢎	免 生 女 
𡢒	女 竹 豆 
𡢕	毀 女 
𡢖	𣪠 女 
𡢘	女 黽 
𡢚	女 㬅 
𡢜	广 祢 女 
𡢱	女 剽 
𡢳	女 感 
𡢹	姦 男 
𡣀	⻖ 𢈙 女 
𡣁	女 孴 
𡣂	𠘂 女 
𡣈	女 署 
𡣋	女 𡬽 
𡣔	妗 圅 
𡣕	女 賔 
𡣠	𤲶 女 
𡣢	重 委 
𡣪	女 適 
𡣬	女 ⺫ 厂 ⺫ 大 
𡣮	女 蔡 
𡣯	女 𢧵 
𡣹	言 炏 女 
𡣽	女 閻 
𡣾	女 蕭 
𡤋	女 韰 
𡤌	女 歷 
𡤎	女 毚 
𡤗	女 蜀 火 
𡤙	女 聶 
𡤛	女 轉 
𡤞	女 龜 
𡤢	女 羅 
𡤫	齒 可 女 
𡤶	女 彎 
𡤽	子 一 
𡤿	子 人 
𡥁	子 刂 
𡥆	丑 子 
𡥈	爻 子 
𡥍	㕛 子 
𡥎	此 子 
𡥘	母 子 
𡥨	孖 日 
𡥩	子 弟 
𡥶	子 禹 
𡥸	尾 孕 
𡥽	未 攵 子 
𡥿	子 重 
𡦁	彖 子 
𡦃	𤇾 子 
𡦄	多 孚 
𡦆	卑 孕 
𡦊	孝 子 子 
𡦍	子 斊 
𡦎	子 氣 
𡦔	帝 孕 
𡦕	子 專 
𡦛	我 享 
𡦜	子 童 
𡦝	周 孝 
𡦟	享 卑 
𡦨	享 虎 
𡦳	孝 𢊁 
𡦷	孑 孑 子 日 孑 孑 子 
𡦻	宀 㔾 
𡦼	宀 人 
𡧍	宀 丏 
𡧒	宀 歹 
𡧔	宀 殳 
𡧕	宀 㕛 
𡧖	宀 ㇇ 木 
𡧗	宀 瓦 
𡧙	宀 卯 
𡧣	宀 右 
𡧥	宀 中 𠃌 
𡧦	宀 矢 
𡧨	宀 出 
𡧩	宀 圭 
𡧭	宀 危 
𡧮	宀 㫐 
𡧯	宀 尗 
𡧱	宀 𢀛 
𡧹	宙 一 
𡧼	穴 日 
𡧽	宀 巟 
𡨀	宀 余 
𡨂	宀 吾 
𡨄	宀 𠀎 八 
𡨅	宀 局 
𡨇	宀 皀 
𡨖	宀 利 
𡨗	宀 皂 
𡨛	宀 夆 
𡨜	宀 𠦑 
𡨢	宀 居 
𡨣	宀 𤘴 
𡨧	宀 卒 
𡨩	宀 昏 
𡨲	宀 表 
𡨳	宀 老 人 
𡨵	宀 大 旦 
𡨻	宀 乳 
𡨽	宀 省 
𡨿	宀 𰃦 㐅 火 
𡩂	宀 一 血 八 
𡩃	宀 恆 
𡩄	宀 勉 
𡩆	束 它 
𡩇	宀 目 𠃊 𫶧 
𡩘	宀 音 
𡩚	宀 彐 𧰨 
𡩡	宀 索 
𡩣	宀 桀 
𡩤	宀 借 
𡩥	宀 翁 
𡩩	𪧇 吂 
𡩶	宜 央 
𡩸	宀 禾 号 
𡩽	𪧇 尨 
𡩾	宀 區 
𡪁	𪧇 含 
𡪅	宀 郰 
𡪐	宀 㚔 丸 
𡪑	宀 品 丂 
𡪒	宀 𰏒 田 
𡪗	𪧇 一 合 
𡪙	安 明 
𡪞	客 𠮢 
𡪠	宀 曾 
𡪰	宀 䎜 
𡪱	宀 猋 
𡪳	𭓦 見 
𡪵	宀 鈙 
𡪹	宀 𮊿 
𡪺	宀 登 
𡫀	宀 敫 
𡫁	宀 𧠪 
𡫂	宀 絹 
𡫃	𫲽 ⺫ 天 
𡫛	宀 自 㓁 𠔽 
𡫟	宀 㠭 大 
𡫥	客 客 
𡫦	宛 辱 
𡫧	𪧇 一 彐 冖 目 
𡫬	宀 𥱩 
𡫯	宀 歷 
𡫳	宀 㠭 廾 
𡫵	宀 衣 ⺫ 禾 
𡫸	寧 吉 
𡫹	宓 屮 咸 
𡫺	𪧇 𦴋 
𡫽	𪧇 ⻀ ⺫ 冖 女 
𡬁	宀 𦓈 
𡬂	富 則 
𡬄	𪧇 𦭝 冖 水 
𡬆	宀 懵 
𡬇	𪧇 𦭝 冖 不 
𡬉	盾 塞 
𡬊	𪧇 𦭝 冖 夭 
𡬌	𪧇 瞢 
𡬍	𪧇 𦭝 冖 米 
𡬎	宀 羌 羌 羌 
𡬓	𪧇 𦭝 冖 𠬶 
𡬕	𫲽 𦓈 
𡬖	𪧇 𦭝 冖 炎 
𡬗	寧 壹 
𡬘	翏 寬 
𡬙	𪧇 𦭝 冖 則 
𡬞	⺄ ⺄ ⺄ 寸 
𡬫	舟 寸 
𡬯	𦥔 寸 
𡬲	巛 目 寸 
𡬳	爫 寸 ⺫ 
𡬵	垔 寸 
𡬸	巛 𦥑 寸 
𡭂	束 㝵 
𡭇	專 内 
𡭋	㐁 辱 
𡭐	巵 專 
𡭘	乃 小 
𡭚	三 小 
𡭛	小 廾 
𡭞	小 火 
𡭢	小 木 
𡭣	小 少 
𡭥	勿 少 
𡭭	小 吏 
𡭮	小 有 
𡭴	小 小 日 
𡭷	小 豕 
𡭸	少 同 
𡭾	小 乳 
𡭿	尚 之 
𡮎	亢 京 
𡮙	能 小 
𡮚	小 厶 周 
𡮞	害 少 
𡮦	曹 少 
𡮰	广 秝 小 
𡮻	監 少 
𡮿	毚 少 
𡯄	尢 力 
𡯇	尢 刂 
𡯈	尢 人 
𡯉	尢 又 
𡯋	尢 干 
𡯏	尢 斗 
𡯐	尢 木 
𡯑	尣 水 
𡯒	尣 日 
𡯘	尢 反 
𡯙	尢 日 
𡯛	尣 左 
𡯢	尢 ⾆ 
𡯣	尢 艮 
𡯥	尢 虫 
𡯨	尢 坐 
𡯩	尢 肖 
𡯫	尣 㒵 
𡯰	尢 戒 
𡯱	尣 皀 
𡯳	尢 咅 
𡯴	尢 卓 
𡯵	尢 委 
𡯷	尣 咅 
𡯽	尢 咸 
𡯿	尢 負 
𡰀	尢 拏 
𡰂	尣 畏 
𡰅	兀 骨 
𡰆	尢 臬 
𡰋	尢 崔 
𡰌	尢 婁 
𡰎	尢 鳥 
𡰐	虛 尤 
𡰑	尢 喬 
𡰒	尢 童 
𡰖	尢 爫 是 
𡰚	粦 尤 
𡰝	尢 雚 
𡰞	兀 雚 
𡰠	尢 羸 
𡰢	尢 爫 巂 
𡰣	コ 丿 
𡰥	尸 二 
𡰨	尸 丁 
𡰪	尸 口 
𡰫	尸 叉 
𡰯	尸 巾 
𡰵	尸 攴 
𡰸	尸 支 
𡰹	尸 丿 𣥂 
𡰽	尸 尤 
𡰾	尸 𠂔 
𡰿	尸 八 夊 
𡱁	尸 矢 
𡱂	尸 兀 几 
𡱅	尸 去 
𡱆	尸 丙 
𡱇	尸 占 
𡱊	尸 𠃌 水 
𡱌	尸 亘 
𡱐	尸 夷 
𡱑	尸 䏍 
𡱔	尸 二 日 
𡱜	尸 兆 
𡱣	尸 彳 予 
𡱯	尸 弄 
𡱱	尸 彳 夭 
𡱳	尸 沙 
𡱷	尸 𦔮 
𡱺	尸 彳 句 
𡱼	尸 果 
𡱽	尸 忽 
𡱾	尸 取 
𡲀	尸 空 
𡲆	尸 爿 支 
𡲍	尸 口 幼 
𡲕	尸 彳 曳 
𡲗	尸 犬 出 
𡲚	尸 酋 
𡲣	尸 降 
𡲪	尾 孕 
𡲭	尾 曳 
𡲮	尸 𣬉 
𡲰	尸 徐 
𡲼	尾 亥 
𡲾	尸 𢓰 
𡲿	尸 爿 曳 
𡳂	尸 豈 
𡳄	尸 啚 
𡳆	尸 虘 
𡳏	尸 兆 句 
𡳑	尸 𡍮 
𡳚	尸 𠃌 國 
𡳞	尸 粦 
𡳭	尼 木 桑 
𡳮	尸 積 
𡳴	𣎆 廿 尸 
𡳸	尸 彳 歷 
𡴅	屮 巾 
𡴆	屮 六 
𡴎	屮 𠂤 
𡴔	屮 太 龴 
𡴘	夭 屰 
𡴞	屮 夲 允 
𡴭	山 乙 
𡴯	山 乙 
𡴱	山 㔾 
𡴹	山 卩 
𡵀	山 亡 
𡵉	山 兀 
𡵒	巳 山 
𡵓	山 厷 
𡵕	丹 山 
𡵖	山 火 
𡵘	山 戶 
𡵙	山 卬 
𡵚	山 介 
𡵛	山 父 
𡵜	山 牛 
𡵞	山 丰 
𡵬	山 木 
𡵭	屯 山 
𡵶	勿 山 
𡵷	山 𠘬 
𡵻	山 亢 
𡶂	屵 二 
𡶃	山 戹 
𡶄	山 包 
𡶆	山 叵 
𡶈	山 史 
𡶉	山 乏 
𡶋	山 尻 
𡶌	山 石 
𡶎	山 未 
𡶏	山 出 
𡶐	山 加 
𡶑	山 甘 
𡶢	山 兄 
𡶣	山 八 夊 
𡶤	山 用 
𡶥	山 加 
𡶦	山 丘 
𡶪	石 山 
𡶫	山 𠂤 
𡶭	山 刑 
𡶯	山 囟 
𡶱	山 𠫤 
𡶲	山 朶 
𡶴	山 产 
𡶾	山 百 
𡷋	山 公 儿 
𡷍	山 江 
𡷎	山 宇 
𡷏	山 聿 
𡷐	山 艮 
𡷓	山 大 廾 
𡷕	山 尾 
𡷖	山 車 
𡷗	山 完 
𡷘	山 別 
𡷛	山 旱 
𡷜	屵 主 
𡷝	山 𦔮 
𡷞	山 忌 
𡷠	山 投 
𡷡	山 肙 
𡷢	山 忘 
𡷤	山 吳 
𡷥	告 山 
𡷨	山 巠 
𡷪	屾 天 
𡷫	山 成 
𡷸	山 孝 
𡷺	艹 小 山 
𡷻	山 木 山 
𡷼	山 木 山 
𡷽	山 束 
𡷿	山 足 
𡸂	山 余 
𡸃	山 佥 
𡸅	山 𢎿 
𡸈	山 𣅋 
𡸉	山 利 
𡸌	山 住 
𡸎	山 即 
𡸑	山 易 
𡸔	山 ⺇ 圭 
𡸕	山 穹 
𡸗	山 軋 
𡸘	山 取 
𡸛	山 欦 
𡸜	山 直 
𡸞	山 臽 
𡸟	山 甾 
𡸡	厂 吅 山 
𡸣	山 兒 
𡸤	山 戕 
𡸥	山 宛 
𡸦	山 𣅳 
𡸨	山 取 
𡸪	山 事 
𡸫	山 并 
𡹄	山 亞 
𡹇	山 林 
𡹉	山 歧 
𡹎	山 𡇌 
𡹓	山 念 
𡹔	山 朋 
𡹕	山 亠 兇 
𡹖	山 炏 
𡹙	山 帚 
𡹢	山 近 
𡹣	山 阿 
𡹥	山 卯 土 
𡹨	山 日 冖 又 
𡹩	臤 山 
𡹪	山 亟 
𡹬	山 咼 
𡹭	山 室 
𡹯	山 廻 
𡹰	山 茅 
𡹲	山 胥 
𡹵	山 侯 
𡹶	山 匽 
𡹷	山 降 
𡹸	山 怱 
𡹹	胡 山 
𡹼	屵 言 
𡹾	山 昺 
𡺇	山 𨹅 
𡺐	山 者 
𡺑	山 枼 
𡺓	山 皆 
𡺔	是 山 
𡺕	山 貝 力 
𡺖	山 幽 
𡺗	山 看 
𡺘	山 秋 
𡺛	山 仌 丨 仌 
𡺜	山 分 瓦 
𡺞	山 音 
𡺟	山 宣 
𡺡	山 盈 
𡺧	刍 攵 山 
𡺫	山 舀 
𡺭	山 貢 
𡺮	屵 肥 
𡺯	山 䍃 
𡺲	山 陖 
𡺴	山 窋 
𡺵	山 豺 
𡺷	山 夏 
𡺸	山 耆 
𡺺	山 躬 
𡺽	山 晉 
𡻈	山 秦 
𡻌	山 𡷰 
𡻎	崔 乃 
𡻐	山 翁 
𡻑	山 冢 
𡻒	務 山 
𡻕	山 戚 
𡻘	山 盖 
𡻙	山 郭 
𡻚	山 康 
𡻝	山 巢 
𡻞	山 畢 
𡻟	山 莫 
𡻠	山 庶 
𡻡	山 酓 
𡻢	山 圉 
𡻣	山 移 
𡻤	麻 山 
𡻧	豉 山 
𡻨	山 袞 
𡻩	山 曼 
𡻪	山 翏 
𡻫	山 亠 品 
𡻬	山 族 
𡻭	山 累 
𡻮	山 扈 
𡻯	山 爽 
𡻰	山 祭 
𡻱	山 累 
𡼁	山 离 
𡼃	山 婆 
𡼄	山 窒 
𡼊	山 絫 
𡼎	山 喜 
𡼐	昏 攵 山 
𡼓	山 奠 
𡼖	敦 山 
𡼗	山 自 𠦂 
𡼘	𡷈 𠇏 
𡼚	㗊 山 
𡼜	山 㻚 
𡼬	山 覃 
𡼱	山 圍 
𡼻	𡸁 𠂤 
𡼼	山 朝 
𡼽	山 飲 
𡼾	山 會 
𡼿	山 窟 
𡽁	山 辠 
𡽂	山 鼓 
𡽃	隓 山 
𡽅	山 運 
𡽆	山 寘 
𡽉	山 齊 
𡽊	山 當 
𡽕	山 辠 
𡽖	山 解 
𡽛	山 碓 
𡽜	山 利 言 
𡽝	山 蒿 
𡽠	山 頗 
𡽢	山 翟 
𡽣	山 厭 
𡽧	屵 堯 
𡽱	山 截 
𡽲	山 榜 
𡽳	山 監 
𡽴	山 臧 
𡽶	山 鼻 
𡽻	山 漸 
𡾅	山 慮 
𡾇	山 廣 
𡾉	山 摩 
𡾋	山 畾 
𡾌	山 麃 
𡾒	山 樂 
𡾓	山 層 
𡾕	屾 湯 
𡾖	山 磈 
𡾙	山 噩 
𡾛	山 鬼 并 
𡾜	山 霍 
𡾝	山 褱 
𡾥	山 縣 
𡾦	山 山 𠂤 辛 
𡾨	山 褱 
𡾮	山 鮮 
𡾰	山 蹇 
𡾱	山 彌 
𡾲	山 薛 
𡾻	山 臧 
𡾼	山 雙 
𡾽	山 繒 
𡾾	山 𨪈 
𡿂	崇 巛 里 
𡿄	山 藏 
𡿉	藟 山 
𡿊	難 山 
𡿋	山 蠆 
𡿎	山 離 
𡿏	山 羅 
𡿓	山 黨 
𡿖	山 齧 
𡿗	山 蘖 
𡿙	山 鷄 
𡿛	屵 𰘾 
𡿝	山 囊 
𡿠	山 鱗 
𡿡	山 靈 
𡿤	卝 八 日 八 土 山 口 山 口 
𡿥	山 鬱 
𡿧	巛 一 
𡿩	巛 𠔼 
𡿪	巛 夕 
𡿯	曰 巛 
𡿺	巛 囟 
𡿼	巛 𦉴 
𡿾	巛 隹 
𡿿	或 巛 
𢀁	巛 反 犮 
𢀊	巢 虍 人 
𢀋	巢 𧆞 
𢀍	景 邕 
𢀓	工 ? 
𢀕	工 𠃌 
𢀗	工 亅 ⺃ 
𢀙	工 丩 
𢀜	工 丮 
𢀪	工 𮦆 
𢀵	己 己 
𢀼	共 巴 
𢁀	共 包 
𢁁	豖 巳 
𢁂	其 巳 
𢁏	告 血 己 
𢁒	巾 几 
𢁓	丆 巾 
𢁕	巾 勺 
𢁖	巾 大 
𢁗	巾 干 
𢁘	巾 彡 
𢁞	巾 𠚣 
𢁠	巾 弓 
𢁢	巾 亐 
𢁤	巾 𱍸 
𢁥	分 巾 
𢁧	巾 欠 
𢁩	巾 內 
𢁪	巾 夬 
𢁬	巾 爪 
𢁮	巾 今 
𢁱	巾 夭 
𢁶	巾 𠕀 
𢁷	巾 公 
𢁹	𠀉 巾 
𢁻	巾 布 
𢁼	巾 宁 
𢁽	巾 必 
𢁾	巾 召 
𢁿	巾 正 
𢂀	巾 弗 
𢂁	巾 句 
𢂃	巾 乍 
𢂄	巾 玄 
𢂆	巾 付 
𢂊	巾 幼 
𢂍	巾 𠂔 
𢂐	巾 劦 
𢂑	巾 式 
𢂒	巾 夷 
𢂔	巾 共 
𢂕	巾 危 
𢂗	印 巾 
𢂘	巾 全 
𢂝	巾 曳 
𢂤	市 犮 
𢂨	凢 凢 巾 
𢂱	巾 肙 
𢂶	巾 冏 
𢂷	巿 合 
𢂹	巾 皃 
𢂺	𣦼 巾 
𢂼	折 巾 
𢃀	巾 巫 
𢃍	巾 卑 
𢃎	巾 或 
𢃏	巾 宗 
𢃐	巾 空 
𢃕	巾 沓 
𢃗	巾 函 
𢃘	𢼄 巾 
𢃛	其 巾 
𢃜	巾 直 
𢃢	巾 青 
𢃥	臤 巾 
𢃦	巾 果 
𢃩	巾 卷 
𢃬	前 巾 
𢃭	巾 怱 
𢃮	巾 面 
𢃯	巾 癸 
𢃰	巾 是 
𢃱	巾 某 
𢃲	巾 革 
𢃳	帚 巴 
𢃴	剌 巾 
𢃸	巾 秋 
𢃺	帛 及 
𢄄	㞢 巾 且 
𢄅	巾 戈 一 火 
𢄇	帛 勾 
𢄊	巾 鬼 
𢄋	𤇾 巾 
𢄌	巾 殺 
𢄍	巾 盍 
𢄎	巾 旁 
𢄏	𡨄 巾 
𢄐	巾 冡 
𢄓	巾 烏 
𢄔	𠂉 帶 
𢄗	帛 冋 
𢄜	巾 圅 
𢄟	巾 通 
𢄠	巾 區 
𢄡	𠩺 巾 
𢄢	埶 巾 
𢄣	巾 彗 
𢄤	斬 巾 
𢄥	⺕ ⺈ 巾 帇 
𢄦	巾 鳥 
𢄧	族 巾 
𢄱	巾 連 
𢄳	巾 奢 
𢄵	巾 象 
𢄶	巾 畫 
𢄷	巾 尞 
𢄸	巾 最 
𢄹	巾 喬 
𢄺	巾 焦 
𢄼	須 巾 
𢄽	巾 貳 
𢅀	巾 覃 
𢅁	孚 帛 
𢅉	帛 皃 
𢅊	無 巾 
𢅋	巾 曾 
𢅎	巾 敫 
𢅏	巾 廉 
𢅑	巾 煞 
𢅒	巾 亶 
𢅕	巾 遂 
𢅖	巾 亷 
𢅗	巾 過 
𢅚	巾 剽 
𢅜	帚 帚 
𢅝	殿 巾 
𢅞	帛 彔 
𢅟	巾 疑 
𢅠	厭 巾 
𢅡	巾 監 
𢅤	巾 蓋 
𢅥	巾 㕑 
𢅩	巾 罷 
𢅪	巾 慼 
𢅫	巾 慧 
𢅭	巾 賴 
𢅮	燅 巾 
𢅯	巾 奮 
𢅰	巾 䦧 
𢅹	巾 龠 
𢅺	書 席 
𢅼	巾 夒 
𢅾	巾 羅 
𢆀	巾 圓 全 
𢆂	巾 𦚏 㓱 
𢆉	丷 干 
𢆍	千 甲 
𢆜	曷 干 
𢆞	幵 束 
𢆟	由 幷 
𢆣	并 夜 
𢆦	䍐 東 
𢆩	久 巨 幷 
𢆯	幺 丨 
𢆰	一 幺 
𢆴	幺 𠄏 
𢆶	幺 幺 
𢆷	幺 少 
𢆸	𠃊 𢆶 
𢆺	一 𠃔 幺 
𢆻	𢆶 几 
𢆽	𢆯 少 
𢇅	𢆶 卝 
𢇇	𢆶 丱 
𢇕	幽 幽 
𢇗	广 下 
𢇘	广 女 
𢇙	广 弋 
𢇚	广 也 
𢇛	广 干 
𢇞	广 口 
𢇟	广 兀 
𢇤	广 水 
𢇥	广 卆 
𢇦	广 壬 
𢇧	广 冘 
𢇨	广 𢆰 
𢇪	广 反 
𢇫	广 乏 
𢇰	广 允 
𢇲	广 禾 
𢇳	广 皮 
𢇴	广 布 
𢇵	广 㘝 
𢇶	广 田 
𢇷	广 犮 
𢇸	广 世 
𢈂	广 㠯 
𢈆	广 召 
𢈇	广 先 
𢈈	广 合 
𢈉	广 同 
𢈋	广 䏍 
𢈓	广 有 
𢈕	广 𠂢 
𢈙	广 夾 
𢈚	广 呂 
𢈛	广 困 
𢈜	广 壯 
𢈝	广 求 
𢈠	广 束 
𢈡	广 夋 
𢈢	广 串 
𢈤	广 七 甲 
𢈯	广 身 
𢈲	广 㫗 
𢈴	广 京 
𢈵	广 空 
𢈶	广 虎 
𢈸	广 念 
𢈹	广 阜 
𢈻	广 疌 
𢈼	广 卒 
𢈽	广 戔 
𢈾	广 取 
𢉁	广 朋 
𢉂	广 官 
𢉃	广 舍 
𢉅	广 金 
𢉆	广 建 
𢉑	广 青 
𢉓	广 𦈢 ⺃ 
𢉕	广 兔 
𢉗	广 亟 
𢉘	广 炎 
𢉚	广 乳 
𢉜	广 者 
𢉝	广 畏 
𢉞	广 扁 
𢉢	广 胡 
𢉤	广 架 
𢉥	广 曷 
𢉦	广 軍 
𢉧	广 苜 
𢉨	广 剌 
𢉩	广 音 
𢉭	广 㒸 
𢉵	广 𡷈 
𢉿	广 馬 
𢊀	广 虒 
𢊄	广 隻 
𢊅	广 追 
𢊆	广 秝 
𢊍	广 𭔰 
𢊏	广 挈 
𢊒	广 烋 
𢊓	广 小 小 日 
𢊖	广 深 
𢊗	广 莫 
𢊘	广 殹 
𢊙	庣 句 
𢊚	广 徙 
𢊛	广 崔 
𢊜	广 張 
𢊧	广 魚 
𢊩	广 厶 ⺫ 比 
𢊮	广 貴 
𢊯	广 爲 
𢊱	广 賁 
𢊲	广 森 
𢊺	广 丣 田 
𢊻	广 臾 小 
𢋂	广 暑 
𢋃	广 亶 
𢋄	广 雋 
𢋅	广 歈 
𢋆	广 歆 
𢋇	广 睪 
𢋈	广 稣 
𢋒	广 蒦 
𢋔	广 奩 
𢋚	麻 肎 
𢋝	廆 木 
𢋡	广 魯 
𢋣	广 憂 
𢋮	广 𢿱 
𢋹	广 止 止 林 
𢋻	广 斂 
𢋼	广 戲 
𢋿	广 齋 
𢌀	广 褺 
𢌄	广 瞿 
𢌈	广 離 
𢌍	广 兼 兼 
𢌔	广 靈 
𢌕	广 䜌 丱 
𢌚	廴 山 
𢌛	廴 正 
𢌦	廴 壬 攵 
𢌨	廴 止 目 
𢌲	山 廾 
𢌳	𱼀 廾 
𢌷	内 廾 
𢌹	厸 廾 
